LATITUDE,LONGITUDE,YEARLY COST,AREA,OWN,WEIGHT
4.695546568,-74.1794639,266000000,4500,1,1
4.6399737,-74.1151021,516000000,2100,0,1
4.624162,-74.088473,440000000,3000,0,1
4.624579,-74.093208,173600000,600,0,1
4.621671,-74.093444,104000000,450,0,1
4.744053,-74.037572,308000000,1334,0,1
4.678669,-74.08721,152000000,720,0,1
4.74284,-74.043839,118400000,408,0,1
4.739659,-74.036666,100760000,330,0,1
4.744037,-74.038729,740000000,2850,0,1
4.74823,-74.044135,248000000,1000,0,1
4.693394,-74.077673,70400000,700,0,1
4.667625,-74.072527,482000000,1100,0,1
4.686995,-74.088007,836000000,2400,0,1
4.676962,-74.11436,359184560,1284.79,0,1
4.743033,-74.045203,673400000,2178,0,1
4.7644,-74.028227,113600000,439,0,1
4.662928,-74.068255,164000000,450,0,1
4.764406,-74.03012,200000000,720,0,1
4.682957,-74.129021,116000000,496,0,1
4.737055,-74.025836,152000000,550,0,1
4.730675,-74.024984,260000000,800,0,1
4.629594,-74.119054,812000000,3000,0,1
4.677934,-74.16286,408044000,1797,0,1
4.642311,-74.119973,380000000,1620,0,1
4.629486,-74.109202,380000000,2500,0,1
4.697149,-74.097457,188000000,1040,0,1
4.606654,-74.099036,200000000,1100,0,1
4.686986,-74.087983,116000000,900,0,1
4.670128,-74.156556,263600000,694,0,1
4.714655,-74.241577,432500000,2750,0,1
4.721088,-74.240477,328880000,1980,0,1
4.712727,-74.24319,272000000,1490,0,1
4.732567,-74.185835,380000000,2800,0,1
4.765134,-74.179977,337928000,2038,0,1
4.712278,-74.216586,296000000,1940,0,1
4.798022,-74.110617,419840000,1904,0,1
4.798239,-74.112142,332000000,1916,0,1
